Tabella 1.3        Programma GOL: individui per Regione e caratteristiche socio-anagrafiche, val.%
                                              Genere                                          Età                              Cittadinanza             Anzianità disoccupazione
Regione
                                Maschi        Femmine        Totale       15-29       30-54         55+    Totale   Italiana       Straniera   Totale   >=6mesi         >=12mesi

Abruzzo                           41,9          58,1          100,0       24,8        57,7          17,5   100,0    87,5          12,5         100,0     34,1              29,7
Basilicata                        44,2          55,8          100,0       26,1        56,1          17,8   100,0    93,9           6,1         100,0     42,3              38,0
P.A. Bolzano                      48,5          51,5          100,0       29,4        51,4          19,2   100,0    60,8          39,2         100,0     17,6              10,5
Calabria                          47,6          52,4          100,0       27,6        57,9          14,5   100,0    93,5           6,5         100,0     48,8              44,4
Campania                          44,2          55,8          100,0       29,9        56,0          14,1   100,0    95,2           4,8         100,0     48,4              44,7
Emilia-Romagna                    42,2          57,8          100,0       26,7        52,7          20,6   100,0    68,9          31,1         100,0     23,2              18,7
Friuli-Venezia Giulia             42,2          57,8          100,0       32,6        49,0          18,4   100,0    77,6          22,4         100,0     18,6              16,2
Lazio                             42,9          57,1          100,0       27,8        55,4          16,8   100,0    84,6          15,4         100,0     30,3              22,9
Liguria                           41,3          58,7          100,0       21,5        56,2          22,3   100,0    77,5          22,5         100,0     24,3              17,1
Lombardia                         43,1          56,9          100,0       30,0        50,6          19,4   100,0    76,9          23,1         100,0     23,8              16,8
Marche                            42,3          57,7          100,0       30,4        50,5          19,1   100,0    79,4          20,6         100,0     24,5              18,0
Molise                            46,5          53,5          100,0       27,2        55,6          17,2   100,0    89,1          10,9         100,0     47,1              40,9
Piemonte                          45,2          54,8          100,0       31,3        51,5          17,2   100,0    74,7          25,3         100,0     26,5              22,3
Puglia                            45,2          54,8          100,0       33,6        52,5          13,9   100,0    94,8           5,2         100,0     40,5              36,1
Sardegna                          48,0          52,0          100,0       30,0        53,2          16,8   100,0    95,1           4,9         100,0     43,0              38,7
Sicilia                           48,6          51,4          100,0       30,2        56,6          13,2   100,0    94,8           5,2         100,0     42,6              39,8
Toscana                           42,4          57,6          100,0       30,1        51,5          18,4   100,0    76,6          23,4         100,0     27,2              22,7
P.A. Trento                       43,5          56,5          100,0       28,2        53,8          18,0   100,0    67,6          32,4         100,0     27,2              20,4
Umbria                            41,0          59,0          100,0       29,1        52,8          18,1   100,0    74,9          25,1         100,0     19,9              16,7
Valle d'Aosta                     42,1          57,9          100,0       26,2        54,1          19,7   100,0    77,5          22,5         100,0     29,5              18,4
Veneto                            42,4          57,6          100,0       33,1        47,8          19,1   100,0    75,9          24,1         100,0     17,7              14,3
Totale                            44,4          55,6          100,0       30,0        53,2          16,8   100,0    84,6          15,4         100,0     33,2              28,6

Fonte: elaborazioni Inapp su dati MLPS - Sistema Informativo Unitario (dati al 31 agosto 2025)
