Abruzzo,46.694,12.210,13.089,946,0,"64,0","16,7","17,9","1,3","0,0"
Basilicata,25.684,8.371,16.617,532,4,"50,2","16,3","32,5","1,0","0,0"
P.A. Bolzano,12.057,3.715,560,796,0,"70,4","21,7","3,3","4,6","0,0"
Calabria,78.745,44.146,52.025,4.443,1155,"43,6","24,5","28,8","2,5","0,6"
Campania,179.905,123.143,231.703,30.222,1070,"31,8","21,8","40,9","5,3","0,2"
Emilia-Romagna,175.782,62.111,23.466,19.162,37,"62,7","22,1","8,4","6,8","0,0"
Friuli-Venezia Giulia,80.909,26.750,9.590,2.931,583,"67,0","22,2","7,9","2,4","0,5"
Lazio,158.340,49.857,54.258,2.189,1088,"59,6","18,8","20,4","0,8","0,4"
Liguria,46.266,8.800,10.525,3.519,19,"66,9","12,7","15,2","5,1","0,0"
Lombardia,294.492,139.064,79.504,19.170,128,"55,3","26,1","14,9","3,6","0,0"
Marche,85.087,19.265,9.389,2.051,1,"73,5","16,6","8,1","1,8","0,0"
Molise,4.970,3.820,5.044,119,311,"34,8","26,8","35,4","0,8","2,2"
Piemonte,140.093,59.145,42.049,27.616,850,"51,9","21,9","15,6","10,2","0,3"
Puglia,151.749,113.464,106.068,7.408,0,"40,1","30,0","28,0","2,0","0,0"
Sardegna,103.597,43.392,31.904,3.314,756,"56,6","23,7","17,4","1,8","0,4"
Sicilia,248.854,123.838,173.184,14.032,931,"44,4","22,1","30,9","2,5","0,2"
Toscana,207.849,62.365,26.914,10.995,97,"67,4","20,2","8,7","3,6","0,0"
P.A. Trento,16.157,6.871,1.506,2.165,0,"60,5","25,7","5,6","8,1","0,0"
Umbria,46.823,9.411,8.668,1.493,355,"70,1","14,1","13,0","2,2","0,5"
Valle d'Aosta,3.955,1.587,235,1.390,3,"55,2","22,1","3,3","19,4","0,0"
Veneto,159.997,145.466,21.050,9.403,1010,"47,5","43,2","6,2","2,8","0,3"
Totale,2.268.005,1.066.791,917.348,163.896,8.398,"51,3","24,1","20,7","3,7","0,2"
