Tabella 1.3        Programma GOL: individui per Regione e caratteristiche socio-anagrafiche, val.%
                                           Genere                                        Età                                                   Anzianità disoccupazione
Regione
                              Maschi       Femmine       Totale      15-29       30-54         55+    Totale   Italiana   Straniera   Totale   >= 6 mesi    >= 12 mesi
Abruzzo                        41,7          58,3         100,0       24,7        58,1         17,2   100,0     87,9        12,1      100,0      35,0          30,6
Basilicata                     45,5          54,5         100,0       26,8        55,6         17,6   100,0     93,7        6,3       100,0      45,8          41,2
P.A. Bolzano                   48,4          51,6         100,0       29,2        51,6         19,2   100,0     60,9        39,1      100,0      17,8          10,9
Calabria                       48,2          51,8         100,0       26,7        58,6         14,7   100,0     93,4        6,6       100,0      50,7          46,1
Campania                       44,5          55,5         100,0       29,4        56,5         14,1   100,0     95,2        4,8       100,0      49,7          45,9
Emilia-Romagna                 41,9          58,1         100,0       26,3        53,3         20,4   100,0     68,9        31,1      100,0      23,9          19,3
Friuli-Venezia Giulia          41,8          58,2         100,0       32,3        49,3         18,4   100,0     77,7        22,3      100,0      19,9          17,3
Lazio                          43,2          56,8         100,0       28,1        55,5         16,4   100,0     84,5        15,5      100,0      32,1          24,2
Liguria                        41,1          58,9         100,0       20,7        56,9         22,4   100,0     77,8        22,2      100,0      25,7          18,1
Lombardia                      42,8          57,2         100,0       26,8        52,9         20,3   100,0     76,3        23,7      100,0      25,5          18,3
Marche                         42,0          58,0         100,0       30,3        50,7         19,0   100,0     79,3        20,7      100,0      25,6          19,0
Molise                         47,7          52,3         100,0       26,7        56,0         17,3   100,0     88,9        11,1      100,0      51,7          44,8
Piemonte                       45,0          55,0         100,0       31,1        52,2         16,7   100,0     74,5        25,5      100,0      27,2          23,1
Puglia                         46,0          54,0         100,0       33,4        52,8         13,8   100,0     94,8        5,2       100,0      43,0          38,2
Sardegna                       48,9          51,1         100,0       30,1        53,2         16,7   100,0     95,0        5,0       100,0      45,7          41,0
Sicilia                        49,6          50,4         100,0       30,0        56,7         13,3   100,0     94,8        5,2       100,0      45,0          41,9
Toscana                        42,9          57,1         100,0       29,9        51,7         18,4   100,0     75,9        24,1      100,0      28,2          23,5
P.A. Trento                    43,0          57,0         100,0       28,0        54,0         18,0   100,0     67,5        32,5      100,0      27,9          21,0
Umbria                         40,5          59,5         100,0       28,6        53,5         17,9   100,0     75,3        24,7      100,0      20,9          17,4
Valle d'Aosta                  41,7          58,3         100,0       25,2        54,5         20,3   100,0     77,7        22,3      100,0      31,8          20,1
Veneto                         42,2          57,8         100,0       33,0        48,0         19,0   100,0     75,8        24,2      100,0      18,4          14,9
Totale                         44,6          55,4         100,0       29,4        53,8         16,8   100,0     84,5        15,5      100,0      34,9          30,1
Fonte: elaborazioni Inapp su dati MLPS - Sistema Informativo Unitario (dati al 31 marzo 2025)
