Abruzzo,41.284,10.176,11.602,825,0,"64,6","15,9","18,2","1,3","0,0"
Basilicata,19.482,7.880,14.758,368,3,"45,8","18,5","34,7","0,9","0,0"
P.A. Bolzano,10.290,3.358,544,693,0,"69,1","22,6","3,7","4,7","0,0"
Calabria,65.682,34.756,45.144,3.952,1.039,"43,6","23,1","30,0","2,6","0,7"
Campania,156.526,114.370,197.768,27.588,874,"31,5","23,0","39,8","5,5","0,2"
Emilia-Romagna,149.751,51.995,19.372,15.147,30,"63,4","22,0","8,2","6,4","0,0"
Friuli-Venezia Giulia,69.839,24.302,8.177,2.553,293,"66,4","23,1","7,8","2,4","0,3"
Lazio,135.355,45.056,45.887,2.061,10,"59,3","19,7","20,1","0,9","0,0"
Liguria,38.631,8.311,9.060,2.997,0,"65,5","14,1","15,4","5,1","0,0"
Lombardia,225.363,118.284,53.661,16.787,82,"54,4","28,6","13,0","4,1","0,0"
Marche,73.251,17.367,8.659,1.686,0,"72,6","17,2","8,6","1,7","0,0"
Molise,3.329,2.741,3.853,112,186,"32,6","26,8","37,7","1,1","1,8"
Piemonte,114.356,51.104,33.999,20.610,4,"52,0","23,2","15,4","9,4","0,0"
Puglia,125.412,96.827,86.136,6.866,0,"39,8","30,7","27,3","2,2","0,0"
Sardegna,91.705,39.435,26.487,3.149,391,"56,9","24,5","16,4","2,0","0,2"
Sicil ia,193.042,105.385,149.661,13.479,806,"41,8","22,8","32,4","2,9","0,2"
Toscana,171.309,52.550,23.736,8.966,0,"66,8","20,5","9,3","3,5","0,0"
P.A. Trento,13.483,6.002,1.307,1.737,0,"59,8","26,6","5,8","7,7","0,0"
Umbria,40.340,8.444,7.261,1.182,153,"70,3","14,7","12,7","2,1","0,3"
Valle D'Aosta,2.996,1.355,207,1.190,3,"52,1","23,6","3,6","20,7","0,1"
Veneto,139.140,119.518,18.942,8.730,698,"48,5","41,6","6,6","3,0","0,2"
Totale,1.880.566,919.216,766.221,140.678,4.572,"50,7","24,8","20,6","3,8","0,1"
