c1,c2,c3,c4,c5,c6,c7,Individui con LEP dopo la presa in carico,c9,c10,c11,c12,c13,c14
,,Individui con,,,,,,,,,,,
,,,,,,,,,,,Individui,Individui con,% individui
,,almeno una,% individui,,,,Dettaglio formazione,,,,,,
,Individui,,,,,,,,,,con,almeno una,con almeno
,,politica,con almeno,,,,,,,,,,
Regione,raggiunti,,,,,,,,LEP J,LEP O,,,
,,"(LEP E, F1, F2,",una politica,LEP E,LEP F1,LEP F2,C07 C12,LEP H,,,Tirocinio,politica (SAP),una politica
,(A),,,,,,C11 Formazione,,Conciliazi,Supporto,,,
,,"H, J, O)",(B/A%),Orient.,Accomp.,Attivazione,Formazione non incl. comp. Formazione,Avviamento,one vita,auto,da CO,o un tirocinio,o tirocinio
,,(B),,specialistico,lavoro,tirocinio,incl. comp. digitali specifica su,a,e lavoro,impiego,(no SAP),CO (C),(C/A%)
,,,,,,,digitali comp. digitali,formazione,,,,,
Abruzzo,57.185,46.774,"81,8",35.635,25.507,8,1.039 258 402,1.676,0,1,3.124,47.456,"83,0"
Basilicata,35.892,8.261,"23,0",5.156,1.448,0,1.733 893 1.275,3.893,0,27,1.346,9.765,"27,2"
P.A. Bolzano,13.142,12.113,"92,2",1.066,11.905,10,13 539 240,677,0,17,239,12.174,"92,6"
Calabria,134.381,82.573,"61,4",81.219,37.357,2.471,4.184 3.401 1.807,9.159,0,3.131,5.093,86.201,"64,1"
Campania,437.648,271.215,"62,0",258.872,66.845,7.160,96.878 205 9.886,106.847,270,1.167,21.183,279.869,"63,9"
Emilia-Romagna,215.418,180.881,"84,0",171.176,137.183,6.692,29.599 5.609 33.739,66.659,1,1.546,12.050,182.933,"84,9"
Friuli-Venezia Giulia,89.384,83.815,"93,8",63.214,75.064,1.897,5.424 8.810 7.555,19.906,53,48,4.410,84.197,"94,2"
Lazio,214.342,101.114,"47,2",101.043,19.336,14,5.149 8.873 3.132,16.910,0,384,12.967,110.863,"51,7"
Liguria,53.085,38.874,"73,2",33.424,19.039,1.080,8 7.305 6.629,12.531,0,33,2.682,39.381,"74,2"
Lombardia,366.586,196.999,"53,7",178.348,153.143,7.314,5.764 37.207 18.574,53.451,5,1.706,22.948,209.558,"57,2"
Marche,88.374,72.379,"81,9",34.897,65.738,1.428,1.152 1.901 2.431,5.281,0,791,7.927,74.002,"83,7"
Molise,8.951,1.547,"17,3",724,11,2,711 111 113,928,1,0,608,2.144,"24,0"
Piemonte,195.066,129.584,"66,4",122.690,63.206,14.880,29.084 3.493 6.274,36.620,0,1,18.231,132.294,"67,8"
Puglia,289.372,109.550,"37,9",52.058,76.208,382,11.403 6.960 2.594,20.652,4,327,15.143,121.627,"42,0"
Sardegna,140.554,106.034,"75,4",105.168,40.121,958,11 5.437 2.903,8.204,1,8,7.898,108.459,"77,2"
Sicilia,414.052,96.781,"23,4",92.350,6.030,51,10.997 2.880 1.947,15.543,1,141,16.538,113.172,"27,3"
Toscana,214.267,191.700,"89,5",174.717,137.266,6.762,18.704 19.127 7.222,40.558,2.836,2.529,10.489,192.502,"89,8"
P.A. Trento,21.236,20.059,"94,5",8.314,17.595,155,576 1.827 1.426,3.816,271,2,423,20.082,"94,6"
Umbria,49.646,33.258,"67,0",33.074,16.125,129,256 3.668 2.247,5.426,0,2,3.783,35.231,"71,0"
Valle d'Aosta,5071,4191,"82,6",2858,2865,164,105 276 183,725,16,1,371,4266,"84,1"
Veneto,243.260,242.210,"99,6",241.613,231.401,10.697,7.638 31.091 14.261,46.523,1.542,128,24.910,242.358,"99,6"
Totale,3.286.912,2.029.912,"61,8",1.797.616,1.203.393,62.254,230.428 149.871 124.840,475.985,5.001,11.990,192.363,2.108.534,"64,1"
