Abruzzo,27.641,7.201,9.633,494,0,"61,5","16,0","21,4","1,1","0,0"
Basilicata,10.355,5.756,9.807,271,4,"39,5","22,0","37,4","1,0","0,0"
P.A. Bolzano,7.733,2.588,480,621,0,"67,7","22,7","4,2","5,4","0,0"
Calabria,44.368,26.402,32.738,2.731,0,"41,8","24,9","30,8","2,6","0,0"
Campania,119.229,88.545,130.911,12.528,465,"33,9","25,2","37,2","3,6","0,1"
Emilia-Romagna,112.151,36.912,14.260,10.626,7,"64,5","21,2","8,2","6,1","0,0"
Friuli-Venezia Giulia,44.039,18.657,6.396,1.895,113,"61,9","26,2","9,0","2,7","0,2"
Lazio,108.870,37.257,31.448,1.765,4,"60,7","20,8","17,5","1,0","0,0"
Liguria,26.807,7.138,6.598,2.106,0,"62,9","16,7","15,5","4,9","0,0"
Lombardia,153.649,90.287,40.130,13.300,14,"51,7","30,4","13,5","4,5","0,0"
Marche,53.199,14.126,6.812,1.252,0,"70,6","18,7","9,0","1,7","0,0"
Molise,2.532,1.810,2.364,65,115,"36,8","26,3","34,3","0,9","1,7"
Piemonte,85.184,40.358,25.095,11.313,0,"52,6","24,9","15,5","7,0","0,0"
Puglia,95.623,69.932,57.203,5.070,0,"42,0","30,7","25,1","2,2","0,0"
Sardegna,70.421,31.660,20.618,2.449,94,"56,2","25,3","16,5","2,0","0,1"
Sicilia,129.510,78.414,111.462,11.389,722,"39,1","23,7","33,6","3,4","0,2"
Toscana,114.197,37.306,16.887,7.193,0,"65,0","21,2","9,6","4,1","0,0"
P.A. Trento,10.452,4.486,956,1.227,0,"61,0","26,2","5,6","7,2","0,0"
Umbria,26.013,7.174,5.292,833,135,"65,9","18,2","13,4","2,1","0,3"
Valle d'Aosta,1.994,1.037,155,925,1,"48,5","25,2","3,8","22,5","0,0"
Veneto,100.959,82.716,14.749,6.465,334,"49,2","40,3","7,2","3,2","0,2"
Totale,1.344.926,689.762,543.994,94.518,2.008,"50,3","25,8","20,3","3,5","0,1"
