Tabella 1.3        Programma GOL: individui per Regione e caratteristiche socio-anagrafiche, val.%
                                                    Genere                                   Età                    Cittadinanza                   Anzianità disoccupazione
Regione                                                                                                                                                    >=6         >=12
                                     Maschi        Femmine          Totale       15-29      30-54   55+    Totale   Italiana       Straniera   Totale
                                                                                                                                                           mesi        mesi
Abruzzo                               41,8           58,2           100,0        24,8        57,9   17,3   100,0     87,6            12,4      100,0       34,6         30,3
Basilicata                            45,2           54,8           100,0        26,8        55,5   17,7   100,0     93,7            6,3       100,0       45,3         40,7
P.A. Bolzano                          48,5           51,5           100,0        29,4        51,4   19,2   100,0     60,8            39,2      100,0       17,7         10,7
Calabria                              48,1           51,9           100,0        27,7        57,8   14,5   100,0     93,4            6,6       100,0       50,0         45,5
Campania                              44,4           55,6           100,0        29,6        56,3   14,1   100,0     95,2            4,8       100,0       49,3         45,5
Emilia-Romagna                        42,0           58,0           100,0        26,5        53,0   20,5   100,0     68,9            31,1      100,0       23,7         19,1
Friuli-Venezia Giulia                 42,0           58,0           100,0        32,3        49,3   18,4   100,0     77,4            22,6      100,0       19,4         16,9
Lazio                                 43,2           56,8           100,0        28,0        55,3   16,7   100,0     84,5            15,5      100,0       31,5         23,8
Liguria                               41,2           58,8           100,0        21,1        56,6   22,3   100,0     77,5            22,5      100,0       25,1         17,6
Lombardia                             42,9           57,1           100,0        27,2        52,5   20,3   100,0     76,2            23,8      100,0       25,5         18,2
Marche                                42,1           57,9           100,0        30,4        50,6   19,0   100,0     79,3            20,7      100,0       25,1         18,6
Molise                                47,8           52,2           100,0        26,8        55,7   17,5   100,0     88,8            11,2      100,0       50,4         43,7
Piemonte                              45,1           54,9           100,0        31,0        52,1   16,9   100,0     74,5            25,5      100,0       27,0         22,8
Puglia                                46,0           54,0           100,0        33,5        52,6   13,9   100,0     94,7            5,3       100,0       42,4         37,8
Sardegna                              48,8           51,2           100,0        30,1        53,2   16,7   100,0     95,0            5,0       100,0       45,4         40,6
Sicilia                               49,7           50,3           100,0        30,2        56,5   13,3   100,0     94,7            5,3       100,0       44,3         41,3
Toscana                               43,0           57,0           100,0        30,1        51,5   18,4   100,0     75,9            24,1      100,0       28,2         23,5
P.A. Trento                           43,3           56,7           100,0        28,1        53,9   18,0   100,0     67,5            32,5      100,0       27,6         20,7
Umbria                                40,6           59,4           100,0        28,7        53,3   18,0   100,0     75,0            25,0      100,0       20,6         17,2
Valle d'Aosta                         42,0           58,0           100,0        25,4        54,6   20,0   100,0     77,5            22,5      100,0       31,1         19,5
Veneto                                42,3           57,7           100,0        33,0        48,0   19,0   100,0     75,7            24,3      100,0       18,1         14,7
Totale                                44,7           55,3           100,0        29,6        53,6   16,8   100,0     84,4            15,6      100,0       34,5         29,7

Fonte: elaborazioni Inapp su dati MLPS - Sistema Informativo Unitario (dati al 31 maggio 2025)
