Abruzzo,43.311,11.031,12.213,890,0,"64,2","16,4","18,1","1,3","0,0"
Basilicata,20.682,8.016,15.642,377,5,"46,2","17,9","35,0","0,8","0,0"
P.A. Bolzano,10.963,3.523,552,719,0,"69,6","22,4","3,5","4,6","0,0"
Calabria,69.229,40.556,47.998,4.153,1063,"42,5","24,9","29,4","2,5","0,7"
Campania,163.832,117.553,209.256,28.461,901,"31,5","22,6","40,2","5,5","0,2"
Emilia-Romagna,159.455,56.309,20.760,16.686,32,"63,0","22,2","8,2","6,6","0,0"
Friuli-Venezia Giulia,73.182,25.221,8.581,2.692,422,"66,5","22,9","7,8","2,4","0,4"
Lazio,142.009,46.760,48.997,2.089,39,"59,2","19,5","20,4","0,9","0,0"
Liguria,41.499,8.489,9.638,3.198,9,"66,0","13,5","15,3","5,1","0,0"
Lombardia,244.727,125.414,57.258,17.662,99,"55,0","28,2","12,9","4,0","0,0"
Marche,77.256,17.999,8.974,1.778,0,"72,9","17,0","8,5","1,7","0,0"
Molise,3.806,3.119,4.233,114,311,"32,9","26,9","36,5","1,0","2,7"
Piemonte,123.522,54.022,37.115,23.252,513,"51,8","22,7","15,6","9,8","0,2"
Puglia,130.733,102.565,92.690,7.039,0,"39,3","30,8","27,8","2,1","0,0"
Sardegna,95.284,40.852,27.559,3.191,729,"56,8","24,4","16,4","1,9","0,4"
Sicil ia,203.139,110.422,155.921,13.594,799,"42,0","22,8","32,2","2,8","0,2"
Toscana,182.155,56.397,24.882,9.343,0,"66,8","20,7","9,1","3,4","0,0"
P.A. Trento,14.591,6.289,1.374,1.888,0,"60,4","26,1","5,7","7,8","0,0"
Umbria,42.363,8.667,7.803,1.275,278,"70,2","14,4","12,9","2,1","0,5"
Valle d'Aosta,3.270,1.468,213,1.292,3,"52,4","23,5","3,4","20,7","0,0"
Veneto,146.437,127.586,19.625,9.007,750,"48,3","42,1","6,5","3,0","0,2"
Totale,1.991.445,972.258,811.284,148.700,5.953,"50,7","24,7","20,6","3,8","0,2"
