c1,c2,Genere,c4,c5,Età,c7,c8,c9,Cittadinanza,c11,Anzianità disoccupazione
Regione,,,,,,,,,,,
,Maschi,Femmine,Totale,15-29,30-54,55+,Totale,Italiana,Straniera,Totale,>=6mesi  >=12mesi
Abruzzo,"41,9","58,1",100,"24,9","57,5","17,6",100,"87,5","12,5",100,"33,8 29,5"
Basilicata,"44,3","55,7",100,"26,1","56,0","17,9",100,"93,8","6,2",100,"41,9 37,7"
P.A. Bolzano,"48,4","51,6",100,"29,6","51,2","19,2",100,"60,9","39,1",100,"17,5 10,4"
Calabria,"47,6","52,4",100,"27,6","57,9","14,5",100,"93,5","6,5",100,"48,5 44,2"
Campania,"44,1","55,9",100,"30,1","55,8","14,1",100,"95,2","4,8",100,"48,1 44,4"
Emilia-Romagna,"42,2","57,8",100,"26,9","52,5","20,6",100,"69,0","31,0",100,"23,1 18,7"
Friuli-Venezia Giulia,"42,3","57,7",100,"33,4","48,5","18,1",100,"77,6","22,4",100,"18,2 15,8"
Lazio,"42,9","57,1",100,"27,9","55,3","16,8",100,"84,6","15,4",100,"30,0 22,6"
Liguria,"41,4","58,6",100,"21,7","56,0","22,3",100,"77,4","22,6",100,"24,1 16,9"
Lombardia,"43,1","56,9",100,"30,9","50,0","19,1",100,"77,0","23,0",100,"23,5 16,5"
Marche,"42,4","57,6",100,"30,6","50,3","19,1",100,"79,4","20,6",100,"24,3 17,9"
Molise,"46,5","53,5",100,"27,4","55,3","17,3",100,"89,0","11,0",100,"46,5 40,3"
Piemonte,"45,2","54,8",100,"31,6","51,2","17,2",100,"74,8","25,2",100,"26,3 22,2"
Puglia,"45,1","54,9",100,"33,8","52,3","13,9",100,"94,8","5,2",100,"40,2 35,8"
Sardegna,"47,9","52,1",100,"30,1","53,0","16,9",100,"95,1","4,9",100,"42,6 38,4"
Sicilia,"48,4","51,6",100,"30,4","56,4","13,2",100,"94,8","5,2",100,"42,4 39,6"
Toscana,"42,4","57,6",100,"30,4","51,3","18,3",100,"76,7","23,3",100,"27,1 22,6"
P.A. Trento,"43,3","56,7",100,"28,4","53,6","18,0",100,"67,6","32,4",100,"27,3 20,5"
Umbria,"41,2","58,8",100,"29,8","52,2","18,0",100,"74,8","25,2",100,"19,7 16,6"
Valle d'Aosta,"42,5","57,5",100,"27,8","53,0","19,2",100,"77,8","22,2",100,"28,7 17,9"
Veneto,"43,0","57,0",100,"34,7","46,6","18,7",100,"76,1","23,9",100,"17,2 13,9"
Totale,"44,4","55,6",100,"30,4","52,9","16,7",100,"84,6","15,4",100,"32,9 28,3"
